CRUISE6," ""CRUISE"""," ""STRATUM"""," ""TOW"""," ""STATION"""," ""STATUS_CODE"""," ""ID"""," ""SVSPP"""," ""CATCHSEX"""," ""LENGTH"""," ""EXPNUMLEN"""," ""SCIENTIFIC_NAME"""," ""LENGTH_COMMENT"""
198370,8370,04010,004,0001,10,198370040100040001,072,0,11,8,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,072,0,13,8,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,072,0,15,8,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,072,0,16,8,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,072,0,18,54,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,072,0,19,46,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,072,0,20,93,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,072,0,21,62,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,072,0,22,31,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,072,0,23,31,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,072,0,24,23,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,072,0,25,8,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,072,0,27,8,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,072,0,29,8,Merluccius bilinearis (silver hake), 
198370,8370,04010,004,0001,10,198370040100040001,073,0,45,1,Gadus morhua (Atlantic cod), 
198370,8370,04010,004,0001,10,198370040100040001,073,0,54,1,Gadus morhua (Atlantic cod), 
198370,8370,04010,004,0001,10,198370040100040001,075,0,24,1,Pollachius virens (pollock), 
198370,8370,04010,004,0001,10,198370040100040001,075,0,25,2,Pollachius virens (pollock), 
198370,8370,04010,004,0001,10,198370040100040001,075,0,26,1,Pollachius virens (pollock), 
198370,8370,04010,004,0001,10,198370040100040001,075,0,55,1,Pollachius virens (pollock), 
198370,8370,04010,004,0001,10,198370040100040001,155,0,25,1,Sebastes fasciatus (Acadian redfish), 
198370,8370,04010,004,0001,10,198370040100040001,155,0,28,1,Sebastes fasciatus (Acadian redfish), 
198370,8370,04010,004,0001,10,198370040100040001,306,1,1.3,499,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,1,1.35,1248,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,1,1.4,1830,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,1,1.45,1913,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,1,1.5,1664,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,1,1.55,1331,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,1,1.6,666,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,1,1.65,333,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,1,1.7,83,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,1,1.95,83,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,2,1.45,27,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,2,2,27,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,2,2.05,53,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,2,2.1,345,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,2,2.15,186,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,2,2.2,557,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,2,2.25,292,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,2,2.3,133,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,2,2.35,80,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,2,2.55,27,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,2,2.6,27,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,3,2.2,26,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,3,2.3,79,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,3,2.4,53,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,3,2.45,53,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,3,2.5,79,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,3,2.55,106,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,3,2.6,26,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,3,2.65,26,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,5,2.75,50,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,5,2.9,25,Pandalus borealis (northern shrimp), 
198370,8370,04010,004,0001,10,198370040100040001,306,5,2.95,25,Pandalus borealis (northern shrimp), 
198370,8370,04010,002,0002,10,198370040100020002,032,0,25,1,Clupea harengus (Atlantic herring), 
198370,8370,04010,002,0002,10,198370040100020002,032,0,27,3,Clupea harengus (Atlantic herring), 
198370,8370,04010,002,0002,10,198370040100020002,032,0,28,1,Clupea harengus (Atlantic herring), 
198370,8370,04010,002,0002,10,198370040100020002,032,0,30,3,Clupea harengus (Atlantic herring), 
198370,8370,04010,002,0002,10,198370040100020002,032,0,31,3,Clupea harengus (Atlantic herring), 
198370,8370,04010,002,0002,10,198370040100020002,032,0,32,2,Clupea harengus (Atlantic herring), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,13,2,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,14,4,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,15,2,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,16,6,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,17,14,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,18,8,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,19,20,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,20,39,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,21,24,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,22,20,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,23,10,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,24,6,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,25,4,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,26,2,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,27,4,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,28,4,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,29,2,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,072,0,32,2,Merluccius bilinearis (silver hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,29,1,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,30,2,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,31,1,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,32,3,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,33,3,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,34,2,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,35,3,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,36,2,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,37,3,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,38,1,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,39,1,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,40,1,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,41,1,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,43,1,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,47,1,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,48,1,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,49,1,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,50,1,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,076,0,67,1,Urophycis tenuis (white hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,25,1,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,30,1,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,31,1,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,33,1,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,34,4,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,38,1,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,39,4,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,40,1,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,41,1,Urophycis chuss (red hake), 
198370,8370,04010,002,0002,10,198370040100020002,077,0,42,2,Urophycis chuss (red hake), 
